timestamp,action,source,category,detail
2026-05-25T11:41:31,start,ipad_notability,讀書,
2026-05-25T12:12:43,end,ipad_notability,讀書,
2026-05-25T13:44:52,start,ipad_notability,讀書,
2026-05-25T15:55:00,end,ipad_notability,讀書,
2026-05-25T16:55:00,start,manual_add,實驗室,
2026-05-25T17:18:00,end,manual_add,實驗室,
2026-05-25T17:18:03,start,mac_tracker,實驗室,
2026-05-25T18:24:00,start,manual_add,通勤,
2026-05-25T18:24:50,end,mac_tracker,實驗室,
2026-05-25T19:00:00,end,manual_add,通勤,
2026-05-25T19:00:00,start,manual_add,家教,
2026-05-25T21:15:00,end,manual_add,家教,
2026-05-25T21:15:00,start,manual_add,通勤,
2026-05-25T21:47:00,end,manual_add,通勤,
2026-05-25T21:47:00,start,manual_add,用餐,
2026-05-25T22:40:00,end,manual_add,用餐,
2026-05-25T22:40:00,start,manual_add,實驗室,
2026-05-25T23:54:00,end,manual_add,實驗室,
2026-05-26T12:30:00,start,manual_add,實驗室,
2026-05-26T13:00:00,end,manual_add,實驗室,
2026-05-26T13:00:00,start,manual_add,用餐,
2026-05-26T13:30:00,end,manual_add,用餐,
2026-05-26T13:30:00,start,manual_add,實驗室,
2026-05-26T14:35:00,end,manual_add,實驗室,
2026-05-26T14:35:19,start,ipad_notability,讀書,
2026-05-26T16:14:40,end,ipad_notability,讀書,
2026-05-26T16:52:51,start,ipad_notability,讀書,
2026-05-26T17:21:44,end,ipad_notability,讀書,
2026-05-26T17:45:00,start,manual_add,通勤,
2026-05-26T18:30:00,end,manual_add,通勤,
2026-05-26T18:30:00,start,manual_add,家教,
2026-05-26T20:45:00,end,manual_add,家教,
2026-05-26T20:45:00,start,manual_add,通勤,
2026-05-26T21:20:00,end,manual_add,通勤,
2026-05-26T21:20:00,start,manual_add,用餐,
2026-05-26T22:40:00,end,manual_add,用餐,
2026-05-26T23:46:24,start,ipad_notability,讀書,
2026-05-26T23:54:37,end,ipad_notability,讀書,
2026-05-27T09:05:22,start,ipad_notability,讀書,
2026-05-27T10:01:52,end,ipad_notability,讀書,
2026-05-27T12:02:57,start,ipad_notability,讀書,
2026-05-27T13:01:52,end,ipad_notability,讀書,
2026-05-27T13:45:00,start,manual_add,用餐,
2026-05-27T14:21:00,end,manual_add,用餐,
2026-05-27T14:21:52,start,mac_tracker,實驗室,
2026-05-27T16:55:00,start,manual_add,娛樂,
2026-05-27T16:55:53,end,mac_tracker,實驗室,
2026-05-27T18:15:00,end,manual_add,娛樂,
2026-05-27T18:15:00,start,manual_add,通勤,
2026-05-27T19:00:00,end,manual_add,通勤,
2026-05-27T19:00:00,start,manual_add,家教,
2026-05-27T21:30:00,end,manual_add,家教,
2026-05-27T21:30:00,start,manual_add,通勤,
2026-05-27T22:00:00,end,manual_add,通勤,
2026-05-27T22:00:00,start,manual_add,實驗室,
2026-05-27T22:50:00,end,manual_add,實驗室,
2026-05-27T22:50:00,start,manual_add,用餐,
2026-05-27T23:30:00,end,manual_add,用餐,
2026-05-28T12:00:00,start,manual_add,通勤,
2026-05-28T12:30:00,end,manual_add,通勤,
2026-05-28T12:30:00,start,manual_add,用餐,
2026-05-28T13:30:00,end,manual_add,用餐,
2026-05-28T13:30:00,start,manual_add,通勤,
2026-05-28T14:00:00,end,manual_add,通勤,
2026-05-28T14:00:00,start,manual_add,家教,
2026-05-28T14:34:00,end,manual_add,家教,
